,country,year,donations,receipts,net_donations,cumulative_donations,,,,
407,Curacao,1983,0,0,0,0,,,,
408,Curacao,1984,0,0,0,0,,,,
409,Curacao,1985,0,0,0,0,,,,
410,Curacao,1986,0,0,0,0,,,,
411,Curacao,1987,0,0,0,0,,,,
412,Curacao,1988,0,0,0,0,,,,
413,Curacao,1989,0,0,0,0,,,,
414,Curacao,1990,0,0,0,0,,,,
415,Curacao,1991,0,0,0,0,,,,
416,Curacao,1992,0,0,0,0,,,,
417,Curacao,1993,0,0,0,0,,,,
418,Curacao,1994,0,0,0,0,,,,
419,Curacao,1995,0,0,0,0,,,,
420,Curacao,1996,0,0,0,0,,,,
421,Curacao,1997,0,0,0,0,,,,
422,Curacao,1998,0,0,0,0,,,,
423,Curacao,1999,0,0,0,0,,,,
424,Curacao,2000,0,0,0,0,,,,
425,Curacao,2001,0,0,0,0,,,,
426,Curacao,2002,0,0,0,0,,,,
427,Curacao,2003,0,0,0,0,,,,
428,Curacao,2004,0,0,0,0,,,,
429,Curacao,2005,0,0,0,0,,,,
430,Curacao,2006,0,0,0,0,,,,
431,Curacao,2007,0,0,0,0,,,,
432,Curacao,2008,0,0,0,0,,,,
433,Curacao,2009,0,0,0,0,,,,
434,Curacao,2010,0,0,0,0,,,,
435,Curacao,2011,0,0,0,0,,,,
436,Curacao,2012,0,0,0,0,,,,
437,Curacao,2013,0,0,0,0,,,,
438,Curacao,2014,0,0,0,0,,,,
439,Curacao,2015,1,0,1,1,,,,
440,Curacao,2016,1,0,1,2,,,,
441,Cyprus,1980,0,0,0,0,,,,
442,Cyprus,1981,0,0,0,0,,,,
443,Cyprus,1982,0,0,0,0,,,,
444,Cyprus,1983,0,0,0,0,,,,
445,Cyprus,1984,0,0,0,0,,,,
446,Cyprus,1985,0,0,0,0,,,,
447,Cyprus,1986,0,0,0,0,,,,
448,Cyprus,1987,0,0,0,0,,,,
449,Cyprus,1988,0,0,0,0,,,,
450,Cyprus,1989,0,0,0,0,,,,
451,Cyprus,1990,0,0,0,0,,,,
452,Cyprus,1991,0,0,0,0,,,,
453,Cyprus,1992,0,0,0,0,,,,
454,Cyprus,1993,0,0,0,0,,,,
455,Cyprus,1994,0,0,0,0,,,,
456,Cyprus,1995,0,0,0,0,,,,
457,Cyprus,1996,0,0,0,0,,,,
458,Cyprus,1997,2,0,2,2,,,,
459,Cyprus,1998,2,0,2,4,,,,
460,Cyprus,1999,2,0,2,6,,,,
461,Cyprus,2000,206,0,206,212,,,,
462,Cyprus,2001,217,0,217,429,,,,
463,Cyprus,2002,6,0,6,435,,,,
464,Cyprus,2003,14,0,14,449,,,,
465,Cyprus,2004,12,0,12,461,,,,
466,Cyprus,2005,19,0,19,480,,,,
467,Cyprus,2006,16,0,16,496,,,,
468,Cyprus,2007,20,0,20,516,,,,
469,Cyprus,2008,39,0,39,555,,,,
470,Cyprus,2009,20,0,20,575,,,,
471,Cyprus,2010,25,0,25,600,,,,
